catalogNumber;eventDate;locality;waterBody;country;decimalLatitude;decimalLongitude;acceptedNameUsage;acceptedNameUsageID;taxonRank;wetWeight;bodyLength;dryWeight;sex;calcium;phosphorus;cadmium;copper;manganese;iron;chromium;cobalt;nickel;lead;aluminium;potassium;sodium;magnesium;barium;strontium;boron;beryllium;lithium;selenium;tellurium;thallium;arsenic;zinc;mercury
1;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;species;18.1;44.5;0.0000405;NA;3033;5432;1.48;10.4;17.3;291;1.48;0;0.988;0.494;133;2269;11901;2548;2.96;27.7;24.7;0;10.9;0;0;0;4.94;47.4;0
2;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;species;26.7;43.5;0.0000613;NA;2025;4731;1.31;4.57;6.85;293;0.979;0;0.326;0.326;52.5;1673;14747;2573;1.31;24.5;17.3;0;5.87;0;0;0;3.26;75.7;0
3;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;species;11.7;37;0.0000249;NA;2490;7242;1.61;9.64;15.3;347;1.61;0;1.61;0.803;186;1361;11807;2517;4.02;23.3;19.3;0;9.64;0;0;0;0;52.2;0
4;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;species;12.5;39.5;0.0000251;NA;15060;6833;1.59;11.2;86.9;2897;7.97;1.59;5.58;1.59;2677;2777;15219;4025;19.1;48.6;31.9;0;13.5;0;0;0;0;47;0
5;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;species;33.2;46.5;0.0000484;NA;2171;5661;1.24;5.79;8.68;448;1.24;0;0.413;0;52.5;1973;20496;2878;1.24;25.2;19;0;6.2;0;0;0;4.13;73.6;0
6;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;species;12.5;36.5;0.0000215;NA;2673;9580;1.86;9.3;11.2;255;1.86;0;0.93;0;127;2425;10512;2683;5.58;25.1;27.9;0;17.7;0;0;0;0;52.1;0
1;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;120;211;0.0000181;NA;831;15138;0;8.84;0;16.6;0;0;1.1;0;64.1;8545;5292;1357;0;3.31;0;0;0;0;0;0;0;44.2;0
2;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;103;191;0.00005;NA;660;12360;0;3.2;0.8;12.4;0;0;0.4;0;23.2;11280;4002;872;0;2.8;0;0;0;0;0;0;0;22;0
3;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;122;210;0.000041;NA;667;11854;0;3.41;0.488;14.6;0;0;0.488;0;30.2;8439;4364;948;0;2.93;0;0;0;0;0;0;0;15.6;0
4;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;138;203;0.000044;NA;612;12955;0;2.27;0.455;10.9;0;0;0;0;25.5;8227;2097;965;0;1.82;0;0;0;0;0;0;0;33.2;0
5;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;116;208;0.0000445;NA;622;12719;0;2.7;0.449;11.2;0;0;0;0;26.5;9124;2427;983;0;1.8;0;0;0;0;0;0;0;36;0
6;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;88;192;0.0000663;NA;1069;12760;0;3.32;0.603;18.4;0.603;0;0.302;0;23.2;7964;2593;860;0;3.32;0;0;0;0;0;0;0;31.4;0
1;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;species;7.3;33;0.0000257;NA;7269;7809;1.56;10.9;50.6;1451;5.45;0;3.11;0.778;1190;878;5672;2470;17.9;35.8;29.6;0;17.1;0;0;0;0;55.3;0
2;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;species;10.4;36;0.0000229;NA;8712;7748;3.49;6.99;56.8;1995;6.11;1.75;3.49;0;1862;2266;9782;4090;16.6;45.4;40.2;0;20.1;0;0;0;0;58.5;0
3;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;species;8.2;35.8;0.0000215;NA;2688;9422;1.86;9.3;9.3;300;2.79;0;0.93;0;164;2623;12930;3061;2.79;26;27.9;0;13;0;0;0;0;55.8;0
4;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;species;8.1;32.8;0.0000338;NA;3380;8166;3.55;9.47;23.1;664;2.37;1.18;1.78;0;318;2163;16391;3197;5.92;30.8;23.1;0;8.88;0;0;0;2.37;55;0
5;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;species;9.9;35.1;0.0000175;NA;3261;82857;0;13.7;2.29;165;14.9;0;1.14;0;92.6;55886;10606;4085;4.57;13.7;3.43;0;0;0;0;0;59.4;110;0
6;2022-03-12;Ravenna;Adriatic Sea;Italy;44.28745;12.38869999;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;species;10.9;38.4;0.0000229;NA;1864;6186;1.75;6.99;5.24;182;1.75;0;0.873;0;108;1306;8949;1997;2.62;18.3;17.5;0;11.4;0;0;0;0;33.2;0
1;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;52;163;0.0000238;NA;2476;7570;2.52;16.8;16.8;432;1.68;0;1.68;0;204;1321;10187;2382;4.2;22.7;21.8;0;11.8;0;0;0;0;52.1;0
2;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;97;NA;0.0000882;NA;306;2993;0;1.13;0.227;4.31;0;0;0.227;0;16.1;1155;958;287;0;1.13;0;0;0;0;0;0;0;6.8;0
3;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;202;221;0.0000454;NA;1310;40396;0;3.08;1.32;67;2.2;0;1.32;0;40.5;26872;5995;2337;0;5.29;1.76;0;0.441;0;0;0;6.61;52.4;0
4;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;91;160;0.000063;NA;454;13206;0;1.9;0.317;20.3;0.635;0.635;0.952;0;22.2;8381;1459;548;0;1.59;0;0;0;0;0;0;5.4;21;0
5;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;62;141;0.0001119;NA;825;7489;0;1.25;0.357;13.2;0.357;0.357;0.179;0;12.3;3521;2609;1246;0.357;7.33;0.715;0;0.179;0;0;0;3.22;20.2;0
6;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;76;146;0.000069;NA;2113;33507;0;2.32;1.16;22.3;0.87;0.87;0.29;0;22;20638;6058;1786;1.74;10.7;1.16;0;0.29;0;0;0;13.9;58.8;0
7;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Sparisoma cretense;urn:lsid:marinespecies.org:taxname:231441;species;102;163;0.0000563;NA;2906;21137;0;2.49;1.42;14.2;0;0;0.355;0;27.7;10195;3331;1265;0;12.1;0.71;0;0.355;0;0;0;7.1;52.9;0
1;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;230;0.000046;NA;727;26217;0;1.74;0.435;28.3;0.87;0;0;0;28.3;12783;4535;1258;0;1.3;0.87;0;0.87;0;0;0;1.74;14.8;0
2;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;240;0.0000861;NA;771;22950;0;0.929;0.232;3.95;0;0;0;0;14.2;11614;2578;1337;0;2.09;4.18;0;0.929;0;0;0;1.63;14.2;0
3;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;220;0.0000401;NA;521;20100;0;0.998;0;4.99;0;0;0;0;29.4;10175;2992;1020;0;0.499;0;0;0.499;0;0;0;0;10;0
4;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;260;0.0000455;NA;460;19473;0;0.879;0;1.76;0;0;0;0;24.6;11297;5024;965;0;0.879;0.44;0;0.44;0;0;0;0;17.1;0
5;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;210;0.0000578;NA;680;17543;0;1.04;0.346;12.5;0.692;0;0;0;24.9;9516;3694;986;0;1.73;0.692;0;0.692;0;0;0;0.692;20.4;0
6;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;150;0.0000466;NA;632;19871;0;1.29;0.429;10.7;0;0;0;0;30.5;9828;4382;1073;0.858;1.72;2.15;0;1.29;0;0;0;0;15;0
7;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;160;0.0000334;NA;649;20838;0;1.2;0.599;4.19;0;0;0;0;37.7;9102;3300;1137;0;1.2;0;0;0.599;0;0;0;0;15.6;0
8;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;170;0.000054;NA;1048;16370;0;1.48;0.37;6.67;0;0;0;0;25.2;8407;4779;1029;0;1.85;2.96;0;1.85;0;0;0;0;23.3;0
9;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;120;0.0000326;NA;807;21411;0;1.84;1.23;220;1.23;0;0;0;38.7;10368;5328;1161;0;2.45;0.613;0;0.613;0;0;0;0;15.3;0
10;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;NA;130;0.0000521;NA;759;21766;0;1.92;0.768;8.83;0.768;0;0;0;30.7;11900;3953;960;0;2.3;0.768;0;0.768;0;0;0;1.15;18.4;0
1;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;375;320;0.0000243;NA;2595;22798;0;2.47;0.823;9.05;0;0;0;0;49.4;8522;2200;1228;0;8.23;0;0;0;0;0;0;0;19.8;0
2;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;142.09;231;0.000015;NA;1012;23467;0;2.67;0;10.7;0;0;0;0;82.7;8992;3156;877;0;2.67;0;0;0;0;0;0;0;16;0
3;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;252.13;282;0.0000312;NA;550;21923;0;1.92;0;8.97;1.28;0;0;0;37.8;9808;1860;1055;0;1.28;0;0;0;0;0;0;0;31.4;0
4;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;341.1;307;0.0000296;NA;626;18108;0;2.03;0.676;20.9;0;0;0;0;53.4;7203;1417;934;0;2.03;0;0;0;0;0;0;0;37.2;0
5;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;87.36;203;0.0000279;NA;713;23513;0;2.15;0;5.73;0;0;0;0;41.6;10681;2270;971;0;1.43;0;0;0;0;0;0;3.58;18.6;0
6;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;192.29;266;0.0000258;NA;565;20775;0;1.55;0;6.98;0;0;6.2;0;44.2;8282;1912;1102;0;0.775;0;0;0;0;0;0;0;17.1;0
7;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;139.29;234;0.0000346;NA;572;21098;0;1.73;0;6.36;0;0;0;0;37.6;9653;2192;849;0;1.73;0;0;0;0;0;0;5.78;19.1;0
8;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;298.03;296;0.0000328;NA;1446;24329;0;1.83;0.61;9.15;0;0;0;0;36;9451;2055;1004;0;3.66;0;0;0;0;0;0;0;32.9;0
9;2022-10-20;Zygi;Levantine Sea;Cyprus;34.7202;33.332565;Pterois miles;urn:lsid:marinespecies.org:taxname:218077;species;150.2;252;0.0000286;NA;695;22238;0;2.1;0;5.59;0;0;0;0;45.5;9720;2501;994;0;1.4;0;0;0;0;0;0;0;27.3;0
1;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;28.7;132;0.0000395;NA;983;16101;0;2.03;0.506;10.1;0;1.01;1.01;0;33.9;8557;5533;1007;0;3.54;2.03;0;1.52;0;0;0;0;46.1;0
2;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;31.1;140;0.0000462;NA;1678;16147;0;2.6;0.866;27.7;0;0.866;0.866;0;36.4;7056;4271;976;1.3;6.49;4.33;0;3.03;0;0;0;0;40.7;0
3;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;27;135;0.0000403;NA;2269;16824;0;3.47;1.99;31.3;0.993;0.993;0.993;0;33.7;6551;4907;1018;0;8.93;3.97;0;2.98;0;0;0;0;70.5;0
4;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;26.3;127;0.0000268;NA;1125;19701;0;3.73;0.746;30.6;0;0;0.746;0;59.7;10149;6389;1093;0;4.48;4.48;0;2.99;0;0;0;0;26.1;0
5;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;40.2;145;0.0000367;NA;807;18692;0;2.72;1.09;12;1.09;0;0.545;0;40.9;10409;5705;957;0;3.27;3.81;0;1.09;0;0;0;0;31.6;0
6;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;35.5;143;0.0000376;NA;1758;16064;0;4.26;1.06;16.5;0;1.06;1.06;0;56.4;6436;6006;1170;1.6;7.45;5.32;0;3.19;0;0;0;0;56.9;0
7;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;28.1;128;0.0000337;NA;1081;16024;0;2.97;0.593;13.6;0;1.19;0.593;0;41.5;8012;6612;982;0;4.15;4.15;0;1.78;0;0;0;0;42.7;0
8;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;36.1;136;0.0000381;NA;897;17270;0;2.1;0.525;8.4;0;0;0.525;0;31;6929;5615;1393;0;3.15;3.15;0;3.15;0;0;0;0;37.8;0
9;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;17.1;112;0.0000386;NA;1129;13990;0;3.11;0.518;11.4;0;1.55;1.04;0;33.7;4961;6447;1222;0;5.18;4.66;0;3.11;0;0;0;0;48.7;0
10;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus luridus;urn:lsid:marinespecies.org:taxname:127044;species;26.2;125;0.0000345;NA;1166;17217;0;2.9;0.58;16.2;1.74;1.16;0.58;0;35.9;6957;6616;1295;0;5.22;4.06;0;3.48;0;0;0;0;52.2;0
1;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;66;203;0.0000253;NA;1623;17312;0;3.95;0.791;40.3;1.58;0;0.791;0;60.9;7905;8698;1658;0;9.49;3.16;0;0.791;0;0;0;0.791;50.6;0
2;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;25.3;125;0.0000288;NA;1014;17431;0;4.17;1.39;19.4;0;0;0.694;0;52.8;7361;5033;1144;0;4.17;2.78;0;1.39;0;0;0;0;52.1;0
3;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;200;0.0000163;NA;1070;23436;0;8.59;6.13;735;3.68;0;1.23;0;1034;9852;5914;1302;3.68;3.68;4.91;0;3.68;0;0;0;0;104;0
4;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;180;0.0000325;NA;816;20431;0;2.46;0.615;20.3;1.23;0;0;0;46.2;11409;5034;981;0;3.69;0.615;0;0.615;0;0;0;0;48.6;0
5;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;180;0.000046;NA;677;9652;0;2.17;1.3;10;0;0;0;0;30.9;4645;2696;535;0;3.04;1.3;0;0.87;0;0;0;0;12.2;0
6;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;190;0.0000294;NA;797;25782;0;3.4;0.68;24.5;1.36;0;0;0;49;13741;4737;1085;0;2.72;1.36;0;0.68;0;0;0;0;26.5;0
7;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;185;0.0000573;NA;445;20628;0;1.75;0.349;13.3;0;0;0;0;23;12775;4486;918;0;2.09;3.14;0;1.4;0;0;0;0;36.6;0
8;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;210;0.0000337;NA;835;20059;0;2.97;0.593;13.1;0;0;0.593;0;43.9;11335;5102;1028;0;3.56;4.75;0;1.78;0;0;0;0;32.6;0
9;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;200;0.0000319;NA;703;25580;0;3.13;0.627;17.6;0;0;0.627;0;43.3;12226;5282;1234;0;2.51;1.88;0;0.627;0;0;0;0;21.9;0
10;2022-08-08;Fodele;Aegean Sea;Greece;35.41;24.962;Siganus rivulatus;urn:lsid:marinespecies.org:taxname:127045;species;NA;190;0.0000305;NA;766;25508;0;3.28;0.656;19.7;1.31;0;0;0;71.5;14033;5371;1029;0;3.93;4.59;0;1.31;0;0;0;0;39.3;0.656
1A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;282.097;157;0.0005144;male;5459;17854;0;8.48;0.544;8.6;0.47;0;0.272;0.311;0.5;16260;23767;2243;0.661;12.79;0;0;0.04;1.672;0;0;0.194;162.8;0
2A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;330.893;164;0.0005101;male;3407;17173;0.039;20.62;0.47;5.7;0.27;0;0.235;0.47;0.1;10802;21106;2627;1.451;15.41;0;0;0.08;2.156;0;0;0.274;188.7;0
3A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;226.174;146;0.0005317;male;2731;17344;0.038;24.68;1.053;5;0.3;0;0.226;0.301;0;10995;16784;2223;0.263;15.69;0;0;0.08;2.37;0;0;3.197;291.6;0
4A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;148.518;158;0.000497;female;4302;14720;0.04;22.33;1.891;13.9;0.36;0.04;0.241;0.322;0.6;12551;29167;2555;0.443;24.79;0;0;0.08;3.984;0;0;2.093;287.8;0
5A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;95.351;119;0.0005615;female;2447;15736;0.036;34.05;2.03;6;0.21;0;0.214;0.249;0;12338;17161;2262;0.214;12.36;0;0;0.07;4.844;0;0;2.208;264.3;0
6A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;124.103;119;0.0005163;male;3018;14736;0.039;15.57;2.402;7.3;0.23;0;0.232;0.232;0;13624;16308;2479;0.31;15.96;0;0;0.08;4.958;0;0;3.06;254;0
7A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;195.422;153;0.0004867;male;2445;13298;0.041;8.67;0.452;4;0.25;0;0.247;0.247;0;12295;31440;2396;0.164;13.23;0.53;0;0.21;1.233;0;0;0.822;187.3;0
8A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;211.013;153;0.0005593;male;1259;15133;0.036;9.94;0.465;4.9;0.25;0;0.25;0.25;0;13817;16639;2103;0.179;4.86;0.89;0;0.07;1.824;0;0;0.536;310.8;0
9A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;156.934;144;0.000395;male;2162;16795;0;14.18;0.709;6.1;0.46;0;0.354;1.165;0;13534;27301;2481;0.354;9.87;0.81;0;0.1;1.924;0;0;0.81;207.8;0
10A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;119.703;144;0.0003055;female;1807;17846;0;16.43;0.524;7.5;0.39;0;0.393;0.458;0;13270;14475;2049;0.196;9.56;0;0;0.07;2.029;0;0;0.458;286;0
11A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;149.462;159;0.000458;female;3122;14904;0.044;11.48;0.83;4.9;0.31;0;0.262;0.262;0;12279;16406;2035;0.306;16.59;0.96;0;0.09;1.79;0;0;2.009;251;0
12A;2022-10-08;Ugento;Ionian Sea;Italy;39.855044;18.169488;Callinectes sapidus;urn:lsid:marinespecies.org:taxname:107379;species;180.008;181;0.0005128;female;3487;16244;0.039;18.02;1.716;19.7;0.31;0;0.273;0.312;10.6;12917;19969;2196;0.819;12.48;0.59;0;0.12;1.872;0;0;0.936;295;0