catalogNumber;organismID;acceptedNameUsage;scientificNameAuthorship;acceptedNameUsageID;taxonRank;locality;country;sex;treatment;waterTemperature;duration;eventDate;bodyLength;standardMetabolicRate;wetWeight;replicateIdentifier;emptyPatchVisit;resourcePatchVisit;totVisit;emptyPatchTimeSpent;resourcePatchTimeSpent;emptyPatchAvTimeSpent;resourcePatchAvTimeSpent;Resid
IndA1_Treat1_Temp28_Rep1;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;3.96;0.27117362;1.462;R1;14;14;28;11.81666667;10.7;3.938888889;2.14;-0.125432304
IndA1_Treat1_Temp28_Rep2;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-23;4.304;0.25578089;1.737;R2;28;27;55;18.68333333;10.15;6.227777778;3.383333333;-0.246660945
IndA1_Treat2_Temp25_Rep4;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;4.335;0.21667163;1.411;R1;23;22;45;17.63333333;9.916666667;5.877777778;1.983333333;-0.12826453
IndA1_Treat2_Temp25_Rep6;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;4.509;0.37946605;1.332;R3;18;17;35;9.25;17.06666667;2.3125;17.06666667;0.453108177
IndA2_Treat1_Temp28_Rep1;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;4.201;0.404831931;1.82;R1;16;15;31;12.75;10.7;1.821428571;1.07;0.195484912
IndA2_Treat1_Temp28_Rep3;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-27;4.496;0.271458186;1.921;R3;12;12;24;17.61666667;5.383333333;8.808333333;1.345833333;-0.22385519
IndA2_Treat2_Temp25_Rep4;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;4.585;0.16745877;1.401;R1;22;22;44;14.63333333;13.75;2.09047619;2.75;-0.383319211
IndA2_Treat2_Temp25_Rep5;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-21;4.645;0.21243179;1.351;R2;17;17;34;13.28333333;12.96666667;3.320833333;12.96666667;-0.132195924
IndA2_Treat2_Temp25_Rep6;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;4.936;0.37860757;1.279;R3;12;12;24;4.183333333;18.76666667;0.464814815;9.383333333;0.465635424
IndA3_Treat1_Temp28_Rep1;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;3.025;0.276817578;0.914;R1;17;17;34;10;13;1.111111111;2.166666667;0.066295071
IndA3_Treat1_Temp28_Rep2;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-23;3.477;0.306050374;0.897;R2;14;14;28;7.7;16.05;0.9625;3.21;0.173525891
IndA3_Treat1_Temp28_Rep3;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-02-14;3.592;0.204265849;0.717;R3;32;31;63;16.76666667;14.46666667;3.353333333;2.893333333;-0.149203059
IndA3_Treat2_Temp25_Rep4;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;3.816;0.18366606;0.826;R1;25;25;50;13.01666667;16.38333333;1.85952381;4.095833333;-0.098454514
IndA3_Treat2_Temp25_Rep5;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-21;3.779;0.21313698;0.943;R2;16;16;32;7.216666667;18.43333333;1.030952381;9.216666667;0.002100471
IndA3_Treat2_Temp25_Rep6;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;3.917;0.46952162;0.82;R3;12;12;24;8.066666667;14.71666667;1.613333333;4.905555556;0.842796602
IndA4_Treat1_Temp28_Rep1;A4;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-14;1.755;0.104594855;0.121;R1;15;14;29;16.31666667;7.466666667;3.263333333;1.066666667;-0.170317447
IndA4_Treat1_Temp28_Rep2;A4;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-23;2.508;0.281213655;0.166;R2;18;18;36;17.53333333;9.35;4.383333333;1.16875;0.703508709
IndA4_Treat1_Temp28_Rep3;A4;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-02-14;2.371;0.092990272;0.232;R3;11;10;21;16.51666667;6.633333333;4.129166667;1.658333333;-0.525064149
IndA4_Treat2_Temp25_Rep4;A4;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-14;2.733;0.14415324;0.255;R1;20;19;39;18.1;10.3;4.525;1.2875;0.087489509
IndA4_Treat2_Temp25_Rep5;A4;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-21;2.777;0.13980342;0.29;R2;21;21;42;17.33333333;11.75;4.333333333;3.916666667;0.00999315
IndA4_Treat2_Temp25_Rep6;A4;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-27;2.834;0.17886316;0.305;R3;25;25;50;18.81666667;11.36666667;9.408333333;1.894444444;0.238004376
IndA5_Treat1_Temp25_Rep4;A5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-14;3.287;0.263986317;0.504;R1;17;17;34;10;13;1.111111111;2.166666667;0.44430002
IndA5_Treat1_Temp28_Rep1;A5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-14;3.292;0.140347508;0.72;R1;21;20;41;14.71666667;11.96666667;2.452777778;2.991666667;-0.526024974
IndA6_Treat1_Temp28_Rep1;A6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-16;2.61;0.079583724;0.237;R1;28;28;56;10.61666667;17;1.17962963;4.25;-0.688517559
IndA6_Treat1_Temp28_Rep2;A6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-23;2.62;0.256050445;0.302;R2;19;19;38;5.083333333;19.88333333;0.391025641;19.88333333;0.391750347
IndA6_Treat1_Temp28_Rep3;A6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-27;2.888;0.090453458;0.27;R3;25;24;49;9.983333333;17.8;1.426190476;17.8;-0.607983988
IndA7_Treat1_Temp28_Rep1;A7;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-16;1.815;0.222832836;0.139;R1;31;31;62;16.03333333;14.25;2.672222222;2.85;0.535486153
IndA7_Treat1_Temp28_Rep2;A7;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-23;1.958;0.242829008;0.106;R2;46;47;93;15.9;18.8;3.18;6.266666667;0.720162832
IndA7_Treat1_Temp28_Rep3;A7;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-27;2.088;0.077138392;0.157;R3;37;38;75;12.16666667;17.43333333;1.738095238;4.358333333;-0.569697473
IndA7_Treat2_Temp25_Rep4;A7;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-14;2.419;0.047429251;0.195;R1;26;26;52;16.56666667;9.416666667;3.313333333;1.177083333;-0.926416666
IndA7_Treat2_Temp25_Rep5;A7;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-21;2.398;0.068304262;0.26;R2;33;33;66;13.63333333;15.76666667;2.726666667;2.627777778;-0.666489452
IndA7_Treat2_Temp25_Rep6;A7;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-27;2.799;0.168357491;0.278;R3;19;19;38;10.96666667;13.58333333;1.566666667;1.697916667;0.21124122
IndA8_Treat2_Temp25_Rep5;A8;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-20;3.062;0.278742762;0.537;R2;22;21;43;13.8;11.75;2.76;1.958333333;0.475586822
IndA8_Treat2_Temp25_Rep6;A8;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-27;3.473;0.138183457;0.528;R3;22;21;43;12.28333333;14.3;1.754761905;2.383333333;-0.219962815
IndA9_Treat2_Temp25_Rep4;A9;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-14;3.276;0.144427564;0.557;R1;30;29;59;16.23333333;10.3;2.705555556;1.716666667;-0.195246261
IndA9_Treat2_Temp25_Rep5;A9;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-21;3.568;0.172366144;0.664;R2;36;35;71;18.88333333;10;6.294444444;0.909090909;-0.082419037
IndA9_Treat2_Temp25_Rep6;A9;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-27;3.67;0.212282479;0.599;R3;28;28;56;13.18333333;14.08333333;2.197222222;2.347222222;0.163409382
IndB1_Treat1_Temp28_Rep1;B1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-16;2.345;0.09825425;0.203;R1;28;28;56;17.45;13.05;5.816666667;1.864285714;-0.421353545
IndB1_Treat1_Temp28_Rep2;B1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-23;2.728;0.290929299;0.451;R2;23;23;46;8.65;19.08333333;1.235714286;9.541666667;0.373352666
IndB1_Treat1_Temp28_Rep3;B1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;28;20;2023-01-27;2.896;0.128488833;0.339;R3;34;34;68;16.8;15.78333333;4.2;3.156666667;-0.339886703
IndB1_Treat2_Temp25_Rep4;B1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-14;2.959;0.089365748;0.409;R1;15;16;31;8.6;15.76666667;1.075;2.627777778;-0.562769332
IndB1_Treat2_Temp25_Rep5;B1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;F;ONE;25;20;2023-02-21;3.04;0.126616986;0.351;R2;42;42;84;19.26666667;11.31666667;19.26666667;1.886111111;-0.158626413
IndB2_Treat1_Temp28_Rep1;B2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-14;3.535;0.346066952;0.72;R1;36;35;71;9.316666667;17.48333333;1.164583333;17.48333333;0.376485739
IndB2_Treat1_Temp28_Rep2;B2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-23;3.598;0.434784655;0.744;R2;35;35;70;15.38333333;15.58333333;3.845833333;3.895833333;0.592758642
IndB2_Treat1_Temp28_Rep3;B2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-27;3.589;0.224773239;0.722;R3;13;12;25;8.816666667;13.38333333;0.97962963;3.345833333;-0.056065026
IndB2_Treat2_Temp25_Rep4;B2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;3.617;0.136470438;0.724;R1;32;31;63;12.91666667;15.4;1.614583333;7.7;-0.347448262
IndB2_Treat2_Temp25_Rep5;B2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-21;3.725;0.224166763;0.732;R2;23;23;46;14.51666667;11.6;2.073809524;1.933333333;0.14483051
IndB2_Treat2_Temp25_Rep6;B2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;4.319;0.222732547;1.16;R3;21;21;42;10.8;16.75;3.6;4.1875;-0.029315006
IndB3_Treat1_Temp28_Rep1;B3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;4.185;0.238160115;1.709;R1;15;14;29;13;11.03333333;2.166666667;2.206666667;-0.312118473
IndB3_Treat1_Temp28_Rep2;B3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;4.203;0.33850694;1.482;R2;21;20;41;18.41666667;8.433333333;6.138888889;1.405555556;0.091403053
IndB3_Treat1_Temp28_Rep3;B3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-27;4.352;0.195224736;1.258;R3;37;36;73;17.6;11.35;3.52;1.41875;-0.399290706
IndB3_Treat2_Temp25_Rep4;B3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;4.3;0.180444889;1.293;R1;22;22;44;16.15;9.8;3.23;0.890909091;-0.279405505
IndB3_Treat2_Temp25_Rep5;B3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-21;4.314;0.236757037;1.266;R2;20;19;39;15.1;11.36666667;3.02;1.894444444;-0.000108479
IndB3_Treat2_Temp25_Rep6;B3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;4.319;0.238719886;1.16;R3;23;22;45;15.25;9.7;2.541666667;1.616666667;0.040004122
IndB5_Treat1_Temp28_Rep1;B5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;3.331;0.195183104;0.547;R1;14;13;27;16.28333333;7.966666667;3.256666667;1.138095238;-0.09609481
IndB5_Treat1_Temp28_Rep2;B5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-23;3.424;0.26905005;0.568;R2;31;30;61;14.55;13.5;2.078571429;4.5;0.211139943
IndB5_Treat1_Temp28_Rep3;B5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-27;3.368;0.146631538;0.699;R3;8;8;16;13.11666667;8.616666667;2.186111111;2.154166667;-0.471439842
IndB5_Treat2_Temp25_Rep5;B5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-21;3.54;0.213421697;0.727;R2;30;29;59;16.3;12.26666667;2.716666667;2.044444444;0.098207267
IndB5_Treat2_Temp25_Rep6;B5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;3.529;0.195006833;0.767;R1;29;29;58;15.7;15.23333333;3.925;2.176190476;-0.011540767
IndB5_Treat2_Temp25_Rep6;B5;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;3.638;0.247077006;0.691;R3;24;24;48;14.45;11.73333333;1.80625;1.303703704;0.263139461
IndB6_Treat1_Temp28_Rep1;B6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;3.32;0.167291864;0.65;R1;10;10;20;10.26666667;12.15;1.711111111;3.0375;-0.313145214
IndB6_Treat1_Temp28_Rep2;B6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-23;3.325;0.238591528;0.629;R2;19;18;37;13.68333333;10.03333333;2.280555556;1.114814815;0.053832195
IndB6_Treat1_Temp28_Rep3;B6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-27;3.405;0.147682576;0.577;R3;20;19;39;10.55;14.56666667;1.507142857;4.855555556;-0.394419546
IndB6_Treat2_Temp25_Rep4;B6;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;3.422;0.09597829;0.608;R1;36;35;71;18.91666667;11.2;6.305555556;1.4;-0.63581951
