catalogNumber;eventDate;locationID;country;stateProvince;decimalLatitude;decimalLongitude;locationRemarks;materialSample;carbon13;percentCarbon;nitrogen15;percentNitrogen
FZ01AA;2023-06-12;FZ01;Italy;Sicily;37.919263;13.387027;Ailanthus altissima is rare;soil sample;-26.77;2.25;4.36;0.18
FZ01PL;2023-06-12;FZ01;Italy;Sicily;37.919263;13.387027;Ailanthus altissima is rare;soil sample;-26.77;2.25;4.36;0.18
FZ01QP;2023-06-12;FZ01;Italy;Sicily;37.919263;13.387027;Ailanthus altissima is rare;soil sample;-26.77;2.25;4.36;0.18
FZ03AA;2023-06-12;FZ03;Italy;Sicily;37.8466;13.435247;Ailanthus altissima is rare;soil sample;-27.19;7.05;3.91;0.42
FZ03RP;2023-06-12;FZ03;Italy;Sicily;37.8466;13.435247;Ailanthus altissima is rare;soil sample;-27.19;7.05;3.91;0.42
FZ03RU;2023-06-12;FZ03;Italy;Sicily;37.8466;13.435247;Ailanthus altissima is rare;soil sample;-27.19;7.05;3.91;0.42
FZM1AA;2023-06-12;FZM1;Italy;Sicily;37.92039;13.386808;Ailanthus altissima is abundant;soil sample;-26.74;4.73;3.66;0.29
L-AA-ALT;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is abundant;soil sample;-27.67;3.69;2.57;0.33
L-AT-ALT;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is rare;soil sample;-25.84;1.57;4.66;0.17
L-AT-PAV;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is rare;soil sample;-25.84;1.57;4.66;0.17
L-AT-QRC;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is rare;soil sample;-25.84;1.57;4.66;0.17
L-AT-RSC;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is rare;soil sample;-25.84;1.57;4.66;0.17
L-BA-ALT;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is abundant;soil sample;-25.47;2.64;5.29;0.22
L-BA-OLE;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is abundant;soil sample;-25.47;2.64;5.29;0.22
L-BA-RUB;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is abundant;soil sample;-25.47;2.64;5.29;0.22
L-BN-OLE;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is absent;soil sample;-26.48;1.08;4.73;0.11
L-BT-OLE;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is rare;soil sample;-25.95;0.87;4.9;0.11
L-PA-ALT;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is abundant;soil sample;-26.59;4.08;2.89;0.36
L-PN-TIG;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is absent;soil sample;-26.12;4.63;1.38;0.3
L-PT-ALT;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is rare;soil sample;-26.44;3.68;2.24;0.28
L-PT-PLC;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is rare;soil sample;-26.44;3.68;2.24;0.28
L-PT-TIG;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is rare;soil sample;-26.44;3.68;2.24;0.28
MA02AA;2023-06-10;MA02;Italy;Sicily;37.806506;14.096826;Ailanthus altissima is rare;soil sample;-27.14;3.37;4.82;0.34
MA02FE;2023-06-10;MA02;Italy;Sicily;37.806506;14.096826;Ailanthus altissima is rare;soil sample;-27.14;3.37;4.82;0.34
MP01CA;2023-06-09;MP01;Italy;Sicily;38.1678;13.340435;Ailanthus altissima is absent;soil sample;-26.57;2.18;6.62;0.28
MP02AA;2023-06-09;MP02;Italy;Sicily;38.167925;13.340267;Ailanthus altissima is rare;soil sample;-26.16;1.96;7.72;0.22
MP02RC;2023-06-09;MP02;Italy;Sicily;38.167925;13.340267;Ailanthus altissima is rare;soil sample;-26.16;1.96;7.72;0.22
MP03RC;2023-06-09;MP03;Italy;Sicily;38.167937;13.340872;Ailanthus altissima is absent;soil sample;-26.47;4.84;6.42;0.25
MP04PA;2023-06-09;MP04;Italy;Sicily;38.167937;13.340872;Ailanthus altissima is absent;soil sample;-25.49;3.64;5.95;0.38
MP05AA;2023-06-09;MP05;Italy;Sicily;38.167187;13.34199;Ailanthus altissima is abundant;soil sample;-25.51;3.16;5.6;0.26
MP06QI;2023-06-09;MP06;Italy;Sicily;38.161428;13.337398;Ailanthus altissima is absent;soil sample;-26.35;1.37;3.83;0.14
MP07AA;2023-06-09;MP07;Italy;Sicily;38.161415;13.33665;Ailanthus altissima is rare;soil sample;-26.15;1.69;4.68;0.15
MP07QI;2023-06-09;MP07;Italy;Sicily;38.161415;13.33665;Ailanthus altissima is rare;soil sample;-26.15;1.69;4.68;0.15
MP08AA;2023-06-10;MP08;Italy;Sicily;38.155769;13.356661;Ailanthus altissima is abundant;soil sample;-25.86;3.68;5.19;0.36
MP09AA;2023-06-10;MP09;Italy;Sicily;38.156849;13.354713;Ailanthus altissima is abundant;soil sample;-26.41;6.15;4.48;0.26
MP10AA;2023-06-10;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;soil sample;-26.16;3.92;5.75;0.34
MP10OE;2023-06-11;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;soil sample;-26.16;3.92;5.75;0.34
MP10PS;2023-06-11;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;soil sample;-26.16;3.92;5.75;0.34
MP10SM;2023-06-11;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;soil sample;-26.16;3.92;5.75;0.34
MP11AA;2023-06-11;MP11;Italy;Sicily;38.171897;13.338245;Ailanthus altissima is rare;soil sample;-25.26;4.89;7.98;0.35
MP11CA;2023-06-11;MP11;Italy;Sicily;38.171897;13.338245;Ailanthus altissima is rare;soil sample;-25.26;4.89;7.98;0.35
MP12PP;2023-06-11;MP12;Italy;Sicily;38.170757;13.33861;Ailanthus altissima is absent;soil sample;-25.87;4.66;5.25;0.32
VC02AA;2023-06-13;VC02;Italy;Sicily;37.651833;14.484692;Ailanthus altissima is abundant;soil sample;-26.63;1.85;3.49;0.15
VC03AA;2023-06-13;VC03;Italy;Sicily;37.652118;14.482035;Ailanthus altissima is abundant;soil sample;-26.46;1.13;4.49;0.15
VC04AA;2023-06-13;VC04;Italy;Sicily;37.64975;14.490257;Ailanthus altissima is rare;soil sample;-21.48;3.07;5.21;0.19
VC04UM;2023-06-13;VC04;Italy;Sicily;37.64975;14.490257;Ailanthus altissima is rare;soil sample;-21.48;3.07;5.21;0.19
VC05AA;2023-06-13;VC05;Italy;Sicily;37.64927;14.489838;Ailanthus altissima is rare;soil sample;-26.45;1.12;7.75;0.1
VC05AP;2023-06-13;VC05;Italy;Sicily;37.64927;14.489838;Ailanthus altissima is rare;soil sample;-26.45;1.12;7.75;0.1